length,pixels,label,slice no.,potato no.
29.98,9,h,1,8
25.61,7,w,1,8
32.88,10,h,2,8
39.23,11,w,2,8
37.45,11,h,3,8
45.33,13,w,3,8
39.49,13,h,4,8
50.48,15,w,4,8
40.80,14,h,5,8
55.21,18,w,5,8
42.03,15,h,6,8
56.11,18,w,6,8
42.57,15,h,7,8
57.03,17,w,7,8
40.77,14,h,8,8
57.42,19,w,8,8
37.56,11,h,9,8
56.25,18,w,9,8
35.31,11,h,10,8
50.10,14,w,10,8
42.22,12,w,11,8
31.19,9,h,11,8
31.11,8,h,1,9
33.83,9,w,1,9
43.46,13,w,2,9
39.43,12,h,2,9
47.97,15,w,3,9
42.40,13,h,3,9
50.19,13,w,4,9
45.87,13,h,4,9
51.37,17,w,5,9
46.79,16,h,5,9
50.25,17,w,6,9
46.01,15,h,6,9
46.33,13,w,7,9
45.82,13,h,7,9
44.84,15,w,8,9
44.66,14,h,8,9
42.46,13,w,9,9
41.87,14,h,9,9
39.07,11,w,10,9
39.40,12,h,10,9
86.28,32,h,0,9
86.28,31,h,0,9
86.28,32,h,0,9
86.28,32,h,0,9